Squad,W,D,L,Pts/MP,GD,xGD,Season,League
Manchester City,28,5,5,2.34,61,46.5,2022-2023,Premier League
Arsenal,26,6,6,2.21,45,29.6,2022-2023,Premier League
Manchester Utd,23,6,9,1.97,15,17.3,2022-2023,Premier League
Newcastle Utd,19,14,5,1.87,35,32.3,2022-2023,Premier League
Liverpool,19,10,9,1.76,28,20.7,2022-2023,Premier League
Brighton,18,8,12,1.63,19,23.1,2022-2023,Premier League
Aston Villa,18,7,13,1.61,5,-2.2,2022-2023,Premier League
Tottenham,18,6,14,1.58,7,7.4,2022-2023,Premier League
Brentford,15,14,9,1.55,12,7.5,2022-2023,Premier League
Fulham,15,7,16,1.37,2,-17.4,2022-2023,Premier League
Crystal Palace,11,12,15,1.18,-9,-8.8,2022-2023,Premier League
Chelsea,11,11,16,1.16,-9,-3.0,2022-2023,Premier League
Wolves,11,8,19,1.08,-27,-23.0,2022-2023,Premier League
West Ham,11,7,20,1.05,-13,-3.9,2022-2023,Premier League
Bournemouth,11,6,21,1.03,-34,-25.3,2022-2023,Premier League
Nott'ham Forest,9,11,18,1.0,-30,-24.9,2022-2023,Premier League
Everton,8,12,18,0.95,-23,-20.4,2022-2023,Premier League
Leicester City,9,7,22,0.89,-17,-12.8,2022-2023,Premier League
Leeds United,7,10,21,0.82,-30,-19.8,2022-2023,Premier League
Southampton,6,7,25,0.66,-37,-23.0,2022-2023,Premier League
Manchester City,28,7,3,2.39,62,44.9,2023-2024,Premier League
Arsenal,28,5,5,2.34,62,48.2,2023-2024,Premier League
Liverpool,24,10,4,2.16,45,42.0,2023-2024,Premier League
Aston Villa,20,8,10,1.79,15,3.4,2023-2024,Premier League
Tottenham,20,6,12,1.74,13,4.8,2023-2024,Premier League
Chelsea,18,9,11,1.66,14,16.4,2023-2024,Premier League
Newcastle Utd,18,6,14,1.58,23,14.6,2023-2024,Premier League
Manchester Utd,18,6,14,1.58,-1,-12.5,2023-2024,Premier League
West Ham,14,10,14,1.37,-14,-18.8,2023-2024,Premier League
Crystal Palace,13,10,15,1.29,-1,-3.4,2023-2024,Premier League
Brighton,12,12,14,1.26,-7,1.4,2023-2024,Premier League
Bournemouth,13,9,16,1.26,-13,-2.2,2023-2024,Premier League
Fulham,13,8,17,1.24,-6,-12.1,2023-2024,Premier League
Wolves,13,7,18,1.21,-15,-21.0,2023-2024,Premier League
Everton,13,9,16,1.11,-11,-1.2,2023-2024,Premier League
Brentford,10,9,19,1.03,-9,2.2,2023-2024,Premier League
Nott'ham Forest,9,9,20,0.84,-18,-3.4,2023-2024,Premier League
Luton Town,6,8,24,0.68,-33,-35.5,2023-2024,Premier League
Burnley,5,9,24,0.63,-37,-29.7,2023-2024,Premier League
Sheffield Utd,3,7,28,0.42,-69,-38.3,2023-2024,Premier League
Liverpool,22,7,1,2.43,43,40.4,2024-2025,Premier League
Arsenal,17,11,3,2.0,30,21.6,2024-2025,Premier League
Nott'ham Forest,17,6,8,1.84,14,-0.1,2024-2025,Premier League
Chelsea,15,7,8,1.73,17,16.6,2024-2025,Premier League
Manchester City,15,6,9,1.7,17,14.1,2024-2025,Premier League
